Nom complet;Sexe;Âge;Niveau d'éducation;Expérience (années);Secteur souhaité;Salaire espéré;Type de contrat souhaité;Statut d'emploi
Victor Le Costa;Homme;35;Licence;4;Construction;34000;CDD (Contrat à Durée Déterminée);0
Olivier-Grégoire Bouvier;Homme;51;Master;27;Construction;55000;Indépendant/Freelance;1
Franck Valentin;Homme;30;Master;8;Éducation;43000;CDI (Contrat à Durée Indéterminée);0
Auguste Rousset-Sauvage;Homme;37;Licence;19;Finance;49000;Indépendant/Freelance;1
Élise Texier;Femme;22;Licence;4;Santé;34000;CDD (Contrat à Durée Déterminée);0
Grégoire Benard;Homme;24;Master;0;Éducation;35000;Stage;0
Pauline Guibert de la Rousseau;Femme;27;Master;9;Finance;44000;CDI (Contrat à Durée Indéterminée);0
Adélaïde Guillot;Femme;51;Licence;12;Finance;42000;Indépendant/Freelance;1
Roger-Alexandre Perrot;Homme;62;Master;19;IT;54000;Indépendant/Freelance;1
Susanne Costa;Femme;24;Master;3;Éducation;38000;CDD (Contrat à Durée Déterminée);0
Gabrielle Meyer;Femme;55;Licence;24;Éducation;50000;Indépendant/Freelance;1
Gérard Courtois du Chauvin;Homme;38;Licence;20;Finance;50000;Indépendant/Freelance;1
Céline Becker;Femme;55;Master;19;Éducation;54000;Indépendant/Freelance;1
Antoine-Thierry Morvan;Homme;50;Licence;5;Santé;35000;CDI (Contrat à Durée Indéterminée);1
Dorothée Jean;Femme;46;Master;28;Construction;55000;Indépendant/Freelance;1
Gilles Pineau;Homme;34;Master;16;Éducation;51000;Indépendant/Freelance;0
Bertrand Maurice;Homme;61;Licence;25;Finance;50000;Indépendant/Freelance;1
Alain Chrétien;Homme;58;Licence;13;Construction;43000;Indépendant/Freelance;1
Alex Weber;Femme;44;Master;24;Santé;55000;Indépendant/Freelance;1
Claire Blanchard;Femme;51;Master;17;IT;52000;Indépendant/Freelance;1
Victor Boyer;Homme;29;Licence;11;Construction;41000;Indépendant/Freelance;0
Antoinette Salmon;Femme;34;Master;16;Éducation;51000;Indépendant/Freelance;0
Bernadette Bruneau de Daniel;Femme;53;Licence;21;Santé;50000;Indépendant/Freelance;1
Danielle Renault;Femme;40;Master;12;Éducation;47000;Indépendant/Freelance;0
Thierry Le Gall;Homme;48;Master;30;Finance;55000;Indépendant/Freelance;1
Louis Moreno;Homme;54;Licence;23;Éducation;50000;Indépendant/Freelance;1
Nathalie Raynaud;Femme;62;Master;28;Éducation;55000;Indépendant/Freelance;1
Lucy Leconte-Pierre;Femme;34;Master;16;Éducation;51000;Indépendant/Freelance;0
Laurence Guillou-Da Silva;Femme;24;Master;5;IT;40000;CDI (Contrat à Durée Indéterminée);0
Susan Breton;Femme;22;Licence;4;Finance;34000;CDD (Contrat à Durée Déterminée);0
Auguste Gauthier de la Pierre;Homme;52;Master;29;Éducation;55000;Indépendant/Freelance;1
Audrey Poulain-Clerc;Femme;36;Master;5;Finance;40000;CDI (Contrat à Durée Indéterminée);0
Joséphine Besson;Femme;22;Licence;4;Santé;34000;CDD (Contrat à Durée Déterminée);0
Corinne Leconte;Femme;36;Master;16;Santé;51000;Indépendant/Freelance;0
Guy Le Boutin;Homme;34;Licence;16;Santé;46000;Indépendant/Freelance;0
Françoise-Simone Marion;Femme;53;Licence;7;Finance;37000;CDI (Contrat à Durée Indéterminée);1
Joseph Vaillant;Homme;22;Licence;3;Finance;33000;CDD (Contrat à Durée Déterminée);0
Émile Laroche-Garnier;Homme;24;Master;5;Éducation;40000;CDI (Contrat à Durée Indéterminée);0
Jeanne Cordier;Femme;63;Licence;23;IT;50000;Indépendant/Freelance;1
Susanne Thibault;Femme;27;Licence;0;Finance;30000;Stage;0
Pierre-Christophe Rodrigues;Homme;61;Master;23;IT;55000;Indépendant/Freelance;1
Richard-Victor Thomas;Homme;34;Licence;16;Éducation;46000;Indépendant/Freelance;0
Manon Bègue-Dupont;Femme;24;Licence;6;Éducation;36000;CDI (Contrat à Durée Indéterminée);0
Martin-Roger Arnaud;Homme;24;Master;4;Construction;39000;CDD (Contrat à Durée Déterminée);0
Marc-Éric Picard;Homme;51;Master;19;Éducation;54000;Indépendant/Freelance;1
Georges-Xavier Goncalves;Homme;31;Master;0;Construction;35000;Stage;0
Arnaude Munoz;Femme;25;Master;7;Finance;42000;CDI (Contrat à Durée Indéterminée);0
Marthe Jean;Femme;55;Licence;8;Éducation;38000;CDI (Contrat à Durée Indéterminée);1
Antoinette Julien;Femme;25;Licence;7;Construction;37000;CDI (Contrat à Durée Indéterminée);0
Madeleine Guilbert;Femme;56;Licence;1;Construction;31000;Stage;1
Marianne Pons;Femme;54;Licence;4;Finance;34000;CDD (Contrat à Durée Déterminée);1
Anaïs-Danielle Roche;Femme;56;Licence;7;Finance;37000;CDI (Contrat à Durée Indéterminée);1
Célina-Michelle Berthelot;Femme;56;Licence;9;Finance;39000;CDI (Contrat à Durée Indéterminée);1
Nathalie-Stéphanie Guichard;Femme;64;Licence;20;Construction;50000;Indépendant/Freelance;1
Lucas Le Huet;Homme;35;Master;1;Finance;36000;Stage;0
Cécile de la Valette;Femme;24;Licence;6;IT;36000;CDI (Contrat à Durée Indéterminée);0
Astrid Normand;Femme;46;Master;28;Éducation;55000;Indépendant/Freelance;1
Patrick Renard;Homme;35;Licence;17;Finance;47000;Indépendant/Freelance;0
Martin de la Lacroix;Homme;56;Master;30;Santé;55000;Indépendant/Freelance;1
Timothée Maréchal;Homme;43;Licence;25;Santé;50000;Indépendant/Freelance;1
Brigitte Lévêque;Femme;30;Master;12;Finance;47000;Indépendant/Freelance;0
Maryse Thomas de la Chrétien;Femme;36;Licence;11;IT;41000;Indépendant/Freelance;0
Corinne Giraud;Femme;63;Master;37;Santé;55000;Indépendant/Freelance;1
Étienne Fouquet;Homme;31;Master;13;Éducation;48000;Indépendant/Freelance;0
Nicolas-Charles Grenier;Homme;43;Master;4;IT;39000;CDD (Contrat à Durée Déterminée);0
Louis Bousquet-Besson;Homme;32;Licence;14;Finance;44000;Indépendant/Freelance;0
Guy Gimenez de Garcia;Homme;47;Master;4;IT;39000;CDD (Contrat à Durée Déterminée);0
Vincent Gillet;Homme;24;Master;6;Construction;41000;CDI (Contrat à Durée Indéterminée);0
Virginie Weber;Femme;55;Licence;27;Construction;50000;Indépendant/Freelance;1
Anouk Dumont;Femme;22;Licence;2;Construction;32000;CDD (Contrat à Durée Déterminée);0
Léon de Bouvet;Homme;36;Master;15;Construction;50000;Indépendant/Freelance;0
Chantal Bourdon;Femme;24;Master;4;IT;39000;CDD (Contrat à Durée Déterminée);0
Gilles Caron;Homme;51;Licence;1;IT;31000;Stage;0
Théodore Léger;Homme;57;Master;2;Construction;37000;CDD (Contrat à Durée Déterminée);1
Hugues Bernard;Homme;36;Licence;2;Santé;32000;CDD (Contrat à Durée Déterminée);0
Antoinette-Luce Dias;Femme;31;Master;9;Santé;44000;CDI (Contrat à Durée Indéterminée);0
Alphonse Coste;Homme;60;Master;16;Éducation;51000;Indépendant/Freelance;1
Pierre Roy;Homme;39;Licence;6;IT;36000;CDI (Contrat à Durée Indéterminée);0
Bernard Fournier-Lemaître;Homme;33;Licence;15;IT;45000;Indépendant/Freelance;0
Guy Thomas Le Lecoq;Homme;51;Licence;33;Éducation;50000;Indépendant/Freelance;1
Nathalie Bernier;Femme;55;Master;1;Éducation;36000;Stage;1
Lucas Durand;Homme;37;Master;17;Santé;52000;Indépendant/Freelance;0
Marguerite Ramos;Femme;35;Master;2;Construction;37000;CDD (Contrat à Durée Déterminée);0
Joséphine Perez;Femme;45;Licence;10;Finance;40000;Indépendant/Freelance;1
Adrienne Maillet;Femme;31;Licence;4;IT;34000;CDD (Contrat à Durée Déterminée);0
Pierre Duval;Homme;33;Master;15;Construction;50000;Indépendant/Freelance;0
Laure Gillet;Femme;24;Licence;2;Construction;32000;CDD (Contrat à Durée Déterminée);0
Claire Gomez Le Legrand;Femme;47;Licence;20;Finance;50000;Indépendant/Freelance;1
Luc Fontaine;Homme;36;Master;18;Santé;53000;Indépendant/Freelance;1
Alphonse de la Girard;Homme;27;Licence;9;Construction;39000;CDI (Contrat à Durée Indéterminée);0
Yves Chauvet;Homme;55;Master;1;Santé;36000;Stage;1
Thibaut Charpentier;Homme;50;Licence;10;IT;40000;Indépendant/Freelance;1
Grégoire Fernandes;Homme;39;Licence;21;Construction;50000;Indépendant/Freelance;1
Agathe Dias;Femme;62;Master;29;IT;55000;Indépendant/Freelance;1
Emmanuel-Théodore Marchal;Homme;39;Licence;21;Construction;50000;Indépendant/Freelance;1
François Bernard;Homme;37;Licence;19;Construction;49000;Indépendant/Freelance;1
Amélie Le Roux;Femme;55;Licence;20;IT;50000;Indépendant/Freelance;1
Marc Leduc-Pruvost;Homme;24;Licence;6;Finance;36000;CDI (Contrat à Durée Indéterminée);0
Jeannine Delaunay Le Legros;Femme;34;Master;6;IT;41000;CDI (Contrat à Durée Indéterminée);0
Matthieu Devaux;Homme;47;Master;28;Éducation;55000;Indépendant/Freelance;1
Dominique Moreau-Renard;Femme;24;Master;6;IT;41000;CDI (Contrat à Durée Indéterminée);0
Françoise Alexandre;Femme;26;Master;0;Finance;35000;Stage;0
Marc Vincent;Homme;33;Licence;15;IT;45000;Indépendant/Freelance;0
Dorothée Pons;Femme;54;Licence;13;Construction;43000;Indépendant/Freelance;1
Julien-Isaac Weber;Homme;64;Master;38;Construction;55000;Indépendant/Freelance;1
Patricia Pierre-Goncalves;Femme;23;Licence;5;IT;35000;CDI (Contrat à Durée Indéterminée);0
Thomas Chauvin;Homme;24;Master;6;Construction;41000;CDI (Contrat à Durée Indéterminée);0
Émilie Lebreton;Femme;53;Licence;20;IT;50000;Indépendant/Freelance;1
Camille Gauthier-Gros;Femme;24;Master;6;Finance;41000;CDI (Contrat à Durée Indéterminée);0
Henri Lefèvre;Homme;46;Licence;13;Éducation;43000;Indépendant/Freelance;1
Roger-Christophe Dumont;Homme;36;Licence;18;Construction;48000;Indépendant/Freelance;1
Claire du Perrin;Femme;24;Master;5;Santé;40000;CDI (Contrat à Durée Indéterminée);0
Bernadette Camus;Femme;53;Licence;35;Finance;50000;Indépendant/Freelance;1
Denis Le Joubert;Homme;24;Licence;6;IT;36000;CDI (Contrat à Durée Indéterminée);0
Maryse Ollivier;Femme;46;Master;9;Éducation;44000;CDI (Contrat à Durée Indéterminée);1
Thérèse Lemoine-Henry;Femme;40;Licence;4;Finance;34000;CDD (Contrat à Durée Déterminée);0
Marguerite Toussaint;Femme;49;Licence;21;Finance;50000;Indépendant/Freelance;1
Margaud Breton Le Vincent;Femme;64;Master;21;Éducation;55000;Indépendant/Freelance;1
Isaac Lopez Le Laine;Homme;54;Master;30;Finance;55000;Indépendant/Freelance;1
Michelle Dupont de la Guérin;Femme;30;Master;12;Construction;47000;Indépendant/Freelance;0
Olivier Collet;Homme;48;Master;6;Éducation;41000;CDI (Contrat à Durée Indéterminée);1
Victoire Le Salmon;Femme;61;Master;5;Éducation;40000;CDI (Contrat à Durée Indéterminée);1
Thibault-Richard Guillaume;Homme;22;Licence;0;Finance;30000;Stage;0
Auguste Gaudin;Homme;39;Licence;14;Santé;44000;Indépendant/Freelance;0
Bertrand François;Homme;54;Master;1;Finance;36000;Stage;1
Stéphane Besson;Homme;43;Licence;9;Santé;39000;CDI (Contrat à Durée Indéterminée);0
Martin Lemaître;Homme;48;Master;2;Finance;37000;CDD (Contrat à Durée Déterminée);0
Hortense Mallet;Femme;24;Master;0;Construction;35000;Stage;0
Émile Gérard;Homme;42;Licence;8;IT;38000;CDI (Contrat à Durée Indéterminée);0
François Pelletier-Lacombe;Homme;33;Master;15;Construction;50000;Indépendant/Freelance;0
Théodore Lopez-Bruneau;Homme;56;Master;38;Construction;55000;Indépendant/Freelance;1
Alexandrie Schmitt de la Bailly;Femme;55;Licence;25;Éducation;50000;Indépendant/Freelance;1
Bertrand Martineau-Bouchet;Homme;56;Licence;28;Éducation;50000;Indépendant/Freelance;1
Gérard Jacquot du Renaud;Homme;50;Master;32;Construction;55000;Indépendant/Freelance;1
Céline Giraud;Femme;32;Master;0;Santé;35000;Stage;0
Lorraine Descamps de Fournier;Femme;22;Licence;0;Éducation;30000;Stage;0
Michèle Benard de Mace;Femme;60;Master;20;IT;55000;Indépendant/Freelance;1
Josette Gomez Le Morvan;Femme;63;Master;11;IT;46000;Indépendant/Freelance;1
Marcel Maury;Homme;28;Licence;10;Éducation;40000;Indépendant/Freelance;0
Anaïs Didier;Femme;47;Licence;29;Éducation;50000;Indépendant/Freelance;1
Jérôme Klein;Homme;24;Master;1;Santé;36000;Stage;0
Frédérique Jacques;Femme;62;Licence;7;IT;37000;CDI (Contrat à Durée Indéterminée);1
Maryse Humbert;Femme;63;Licence;21;Finance;50000;Indépendant/Freelance;1
Corinne Germain;Femme;43;Master;6;Construction;41000;CDI (Contrat à Durée Indéterminée);0
Philippe Clément;Homme;55;Licence;17;IT;47000;Indépendant/Freelance;1
Jacques Mendès-Normand;Homme;23;Licence;5;Éducation;35000;CDI (Contrat à Durée Indéterminée);0
Anne Guillon;Femme;64;Licence;10;Éducation;40000;Indépendant/Freelance;1
Nicolas-Luc Ruiz;Homme;35;Master;17;Construction;52000;Indépendant/Freelance;0
Luce Guichard;Femme;34;Master;16;Santé;51000;Indépendant/Freelance;0
Laurent Brunet;Homme;26;Master;8;Finance;43000;CDI (Contrat à Durée Indéterminée);0
Noël Petitjean-Lelièvre;Homme;44;Licence;23;Santé;50000;Indépendant/Freelance;1
Sébastien Lebreton;Homme;31;Master;12;Construction;47000;Indépendant/Freelance;0
Suzanne Diallo;Femme;36;Licence;18;Construction;48000;Indépendant/Freelance;1
André Roger;Homme;40;Licence;22;IT;50000;Indépendant/Freelance;1
Marcel Leconte;Homme;24;Master;1;Construction;36000;Stage;0
Adrien de la Lemaire;Homme;35;Master;17;Santé;52000;Indépendant/Freelance;0
Christophe Gomes;Homme;59;Licence;27;Santé;50000;Indépendant/Freelance;1
André Baudry;Homme;62;Licence;5;Éducation;35000;CDI (Contrat à Durée Indéterminée);1
Claire du Menard;Femme;27;Master;9;IT;44000;CDI (Contrat à Durée Indéterminée);0
William-Thierry Perrin;Homme;22;Licence;1;Finance;31000;Stage;0
Marthe du Bègue;Femme;22;Licence;4;Santé;34000;CDD (Contrat à Durée Déterminée);0
Henri Marchand;Homme;22;Licence;3;Construction;33000;CDD (Contrat à Durée Déterminée);0
Christine-Inès Prévost;Femme;37;Master;3;Santé;38000;CDD (Contrat à Durée Déterminée);0
Xavier Le Weiss;Homme;58;Licence;32;Santé;50000;Indépendant/Freelance;1
Océane Teixeira;Femme;44;Licence;26;Éducation;50000;Indépendant/Freelance;1
Michelle Marques-Martin;Femme;61;Licence;31;Finance;50000;Indépendant/Freelance;1
Gabrielle-Anastasie Maillard;Femme;64;Master;1;Construction;36000;Stage;1
Véronique-Colette Fouquet;Femme;55;Master;6;Finance;41000;CDI (Contrat à Durée Indéterminée);1
Margot Bouvier;Femme;45;Master;14;Éducation;49000;Indépendant/Freelance;1
Emmanuel Le Goff;Homme;36;Master;3;Finance;38000;CDD (Contrat à Durée Déterminée);0
Hugues Garcia de Ferrand;Homme;53;Master;1;Éducation;36000;Stage;1
Patrick Aubert;Homme;26;Licence;8;Finance;38000;CDI (Contrat à Durée Indéterminée);0
Raymond-Franck Durand;Homme;24;Master;0;Éducation;35000;Stage;0
Christelle de la Jean;Femme;34;Master;16;IT;51000;Indépendant/Freelance;0
Étienne Paris de Rocher;Homme;51;Master;25;IT;55000;Indépendant/Freelance;1
Michèle Guillou;Femme;32;Licence;13;IT;43000;Indépendant/Freelance;0
Marthe-Nath Perrot;Femme;40;Licence;22;Santé;50000;Indépendant/Freelance;1
Alphonse Meyer Le Legrand;Homme;33;Master;15;IT;50000;Indépendant/Freelance;0
Renée Chevalier;Femme;41;Licence;23;Construction;50000;Indépendant/Freelance;1
Rémy Renault;Homme;40;Master;3;Construction;38000;CDD (Contrat à Durée Déterminée);0
Robert Leleu;Homme;33;Licence;13;Construction;43000;Indépendant/Freelance;0
Zacharie Dupont;Homme;63;Licence;17;Santé;47000;Indépendant/Freelance;1
François Hubert;Homme;38;Licence;11;Construction;41000;Indépendant/Freelance;0
Jacqueline Benard de Mace;Femme;50;Master;5;Santé;40000;CDI (Contrat à Durée Indéterminée);1
Marc Morel;Homme;48;Licence;30;Éducation;50000;Indépendant/Freelance;1
Richard Techer-Leroy;Homme;58;Licence;37;Santé;50000;Indépendant/Freelance;1
Christiane du Payet;Femme;59;Master;4;Finance;39000;CDD (Contrat à Durée Déterminée);1
Valérie Rousseau;Femme;64;Licence;29;Finance;50000;Indépendant/Freelance;1
Lucas Moreno;Homme;25;Master;7;Éducation;42000;CDI (Contrat à Durée Indéterminée);0
Dorothée Martinez-Boyer;Femme;30;Master;12;Construction;47000;Indépendant/Freelance;0
Olivie Hamel-Le Gall;Femme;34;Licence;6;Éducation;36000;CDI (Contrat à Durée Indéterminée);0
Christelle Didier;Femme;37;Licence;8;Santé;38000;CDI (Contrat à Durée Indéterminée);0
Benoît Le Becker;Homme;36;Master;10;Finance;45000;Indépendant/Freelance;0
Corinne Lambert;Femme;56;Licence;6;IT;36000;CDI (Contrat à Durée Indéterminée);1
Zacharie Robin de Bouvier;Homme;48;Master;10;Santé;45000;Indépendant/Freelance;1
Gilles Le Gonzalez;Homme;24;Master;3;Finance;38000;CDD (Contrat à Durée Déterminée);0
Arthur Hernandez-Grenier;Homme;59;Licence;11;Éducation;41000;Indépendant/Freelance;1
Lucas-Léon Thierry;Homme;62;Master;34;Finance;55000;Indépendant/Freelance;1
Suzanne Dumont;Femme;58;Master;22;Finance;55000;Indépendant/Freelance;1
Noël Garcia;Homme;48;Licence;23;Finance;50000;Indépendant/Freelance;1
Claire de la Mendès;Femme;38;Master;2;Finance;37000;CDD (Contrat à Durée Déterminée);0
Benjamin Bodin-Julien;Homme;42;Master;24;Éducation;55000;Indépendant/Freelance;1
Laetitia Louis de la Picard;Femme;26;Master;8;Construction;43000;CDI (Contrat à Durée Indéterminée);0
Valérie Perez;Femme;24;Master;6;Santé;41000;CDI (Contrat à Durée Indéterminée);0
Sophie Fleury;Femme;36;Licence;17;Finance;47000;Indépendant/Freelance;0
Richard Jourdan;Homme;38;Licence;20;IT;50000;Indépendant/Freelance;1
Joséphine Le Picard;Femme;57;Master;31;Éducation;55000;Indépendant/Freelance;1
Honoré Le Fleury;Homme;39;Master;21;Construction;55000;Indépendant/Freelance;1
Gilbert Da Silva;Homme;37;Licence;19;Construction;49000;Indépendant/Freelance;1
Yves Lenoir;Homme;22;Licence;3;IT;33000;CDD (Contrat à Durée Déterminée);0
Thibaut Humbert;Homme;55;Master;21;Construction;55000;Indépendant/Freelance;1
Maurice Chevalier;Homme;57;Master;24;IT;55000;Indépendant/Freelance;1
